Years,Value
1951.583333,71.89
1951.666667,64.09
1951.75,54
1951.833333,38.08
1951.916667,31.23
1952,32
1952.083333,35.46
1952.166667,37.69
1952.25,51.66
1952.333333,60.58
1952.416667,70.75
1952.5,74.1
1952.583333,72.82
1952.666667,65.89
1952.75,52.95
1952.833333,39.92
1952.916667,33.44
1953,36.43
1953.083333,35.87
1953.166667,43.75
1953.25,48.76
1953.333333,59.18
1953.416667,70.18
1953.5,74.17
1953.583333,72.1
1953.666667,66.16
1953.75,56.21
1953.833333,43.88
1953.916667,33.69
1954,30.9
1954.083333,41.41
1954.166667,39.25
1954.25,54.18
1954.333333,58.59
1954.416667,68.85
1954.5,75.47
1954.583333,72.18
1954.666667,66.45
1954.75,54.68
1954.833333,44.06
1954.916667,33.91
1955,29.35
1955.083333,31.05
1955.166667,40.06
1955.25,52.86
1955.333333,61.29
1955.416667,66.54
1955.5,74.44
1955.583333,73.87
1955.666667,65.88
1955.75,55.04
1955.833333,38.23
1955.916667,31.71
1956,31.01
1956.083333,32.27
1956.166667,40.75
1956.25,49.37
1956.333333,61.77
1956.416667,70.36
1956.5,73.06
1956.583333,71.69
1956.666667,65.1
1956.75,56.16
1956.833333,40.32
1956.916667,36.23
1957,27.07
1957.083333,38.07
1957.166667,41.27
1957.25,50.7
1957.333333,59.65
1957.416667,68.7
1957.5,74.28
1957.583333,71.65
1957.666667,64.18
1957.75,51.67
1957.833333,40.26
1957.916667,37
1958,31.6
1958.083333,31.98
1958.166667,37.67
1958.25,50.27
1958.333333,62.42
1958.416667,67.93
1958.5,72.63
1958.583333,73.29
1958.666667,65.43
1958.75,54.73
1958.833333,43.02
1958.916667,32.22
1959,29.5
1959.083333,32.49
1959.166667,41.45
1959.25,51.6
1959.333333,60.84
1959.416667,69.96
1959.5,73.58
1959.583333,73.17
1959.666667,64.74
1959.75,53.33
1959.833333,38.66
1959.916667,35.94
1960,29.46
1960.083333,30.52
1960.166667,35.91
1960.25,52.59
1960.333333,59.31
1960.416667,69.08
1960.5,73.89
1960.583333,72.21
1960.666667,66.45
1960.75,54.77
1960.833333,42.73
1960.916667,30.4
1961,29.71
1961.083333,37.42
1961.166667,43.47
1961.25,48.67
1961.333333,58.87
1961.416667,69.49
1961.5,73.24
1961.583333,72.7
